What support rotas are you on?,"Compared to last year, when you are on the support rota, how much support are you doing? - User Support","Compared to last year, when you are on the support rota, how much support are you doing? - Weekday Alerts","Compared to last year, when you are on the support rota, how much support are you doing? - Weekend Support","When you are not on the rota, how often are you contacted by AppBank","When you are not on the rota, how often are you contacted by L3",How often are you contacted for support by clients who should have probably raised a Keystone ticket? (ie not Appbank or other L3),"When you are contacted by AppBank or L3 outside of your rota shift,  why are you being contacted?",Since Feb have you seen a qualitative improvement in the level of investigation done by AppBank before they escalate to L3 (you)?,How often do you spend time during your support shift teaching AppBank or improving documentation to prevent a similar escalation in the future?,Have you done anything different in your project work as a result of what you've seen or learned on L3?,"What would you improve about the support process, either by investing in AppBank or something else, to reduce the amount of support you do as L3?",Are you willing to commit time to making the improvements you've suggested?,Any other feedback?
Workflow,NA,NA,NA,Less than once per month,Less than once per month,Less than once per month,I'm rarely contacted outside of my shift,I believe AppBank can focus more on getting the required parameters and details of the problem before consulting L3,Sometimes,Preparing common list of known possible issues and a runbook,To come up with proper documentation and also make AppBank team learn about capturing problem statements from the clients,"Yes, for specific improvements",NA
DSP,More Support,Unchanged,Slightly Less Support,Weekly,Weekly,Weekly,I'm an all-rounder with a longer tenure than most,.,Sometimes,Troubleshooting pages (Runbook) have to be more detailed with information,It seems that the SDLC & documentation can be uplifted. This should help to decrease the number of tickets raised by clients,Yes,There is no ROTA for Decision Team
DSP,Slightly Less Support,Significantly Less Support,Slightly Less Support,Weekly,Daily,Weekly,I'm the SME for that specific product,Yes - in line with cumulative runbook/documentation updates,Sometimes,No,Prioritise documentation/runbooks (especially for BPMN/Workflow) so that AppBank can handle more support independently. This will also benefit L3 support by reducing single-SME dependencies. ,"Yes, for specific improvements",AppBank team members have been diligent in trying to independently resolve items. Documentation improvements (esp. BPMN/Workflow) will help them handle more support independently.
Workflow,,,,Less than once per month,Less than once per month,Less than once per month,I'm rarely contacted outside of my shift,,Rarely,"yes, I tried to have elaborate log messages where I see a potential issue could take place","most L3 are people not understanding the tool and asking questions in terminology which is more relatied to their problem then what the tool itself is doing but with different keywords. I guess a metadata, tagging might help our confluence help documentation so that searches can bring forward these documents before even raising a support ticket.",Yes,no
Optimus,,,,Weekly,Weekly,Monthly,I'm one of the few with any experience on the legacy stack,,Sometimes,Yes I have started to get in touch with operations to know more about the business side and work on their issues.,Nothing as such,Yes,No
Workflow,,,,Monthly,Daily,Weekly,I'm the SME for that specific product,,Rarely,Because of L3 supprt I learned something about the whole workflow platform and thanks to this sometimes I am abe to spot issues after change in one of the systems that can impact other systems.,"Add more details to WCC like i.e. what user is used by engine to perform http calls, what DL can be used to contact with owners of the bpmn (I know that there are ways to do this, but it will be faster and easier if those information's will be in WCC), escalation rules connected to the process/task. Last time when I was on the support I spend a lot of time with issues connected to bundle deployment so we should improve this. We probably can improve ways of refreshing entitlements when it is wrongly cached as procedure to do this is quire complicated (perform few sqls on db connect to host and perform some jmx operations a lot of people do not know how to do this) - it not happens often and mostly (or maybe even only in my case) on non prod env. I think that kata should be done by everyone and additionally agyer kata they have to create process that at least have: - human task (with complex routing rule) - boundary error - message event - service task - multi instance - notification I know that it will consume a lot of time, but after doing this these people will have more information about how engine, notifications, entitlements works and probably will be able to cover more issues with process modeling on their own. Definitely there will be less issues if everyone will write cucumber tests and right now almost no one is doing this - that is why there are not many questions connected to cucumber tests topic. We probably can add some coverage feature for deploying bundle and put there some small value at the beginning that have to be met to deploy bundle (of couse we should add possibility to deply without fulfilling this condition if there is some urgent issue).","Yes, for specific improvements","Very useful information for probably everyone is that if clients contact you for the help outside of your support rota and you see that this issue is not complex and not important and someone other can do this then ask client to create keystone ticket. After my first support a lot of clients that I helped were asking me directly about issues so it was consuming a lot of time - it is always easier and faster to write to SME than trying to find it on their own in documentation or create keystone ticket so remember to say to the clients ""Please create keystone ticket"" if issue can be handled by someone else, you are not on the support and is not important (non prod issues)."
Workflow,,,,Weekly,Daily,Weekly,I'm the SME for that specific product,,Sometimes,Take more care on detecting non-standard situations and quality of logs there to allow easier tracing,"Better knowledge of our prodcts, get some experience with using them. More features/details in WCC as some require executing requests/sqls/checking logs to discover some configuration.","Yes, for specific improvements",_
Workflow,,,,Less than once per month,Monthly,Monthly,I'm the SME for that specific product,,Rarely,I try to suggest features to reduce the need of support,"There is no easy way to search through past support tickets. Support tickets are often very similar, if there was an easy way to correlate or search old queries, users, L1 and others L3 would all benefit from it by not raising duplicate tickets.","Yes, for specific improvements",Adding ranks and gamification may incentive people to solve more tickets when they are on support :P
Workflow,,,,Less than once per month,Less than once per month,Less than once per month,I'm rarely contacted outside of my shift,,Rarely,Added more logging into the code to make erros more verbose,"Maybe by having AppBank go thru some of the katas we ask developers of the platform to execute could give them more context of issues as they arise. Sometimes the isses raised by users are process orientated (promotion, where to look for status, etc) --AppBank going thru it themselves might help narrow the problem space further.","Yes, for specific improvements",NA
DSP,,,,Less than once per month,Less than once per month,Less than once per month,I'm the SME for that specific product,,Never,"Yes, added extra validators & transformers",Configuration in DSP test service to help users specify their transformers/validators,Yes,no
DSP,,,,Less than once per month,Monthly,Less than once per month,Few people are online at that time of day,,Rarely,Yes I have,I would review AppBank runbook,Yes,"I am rarely contacted, so I think that the support process has been designed well"
