What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?
Female,20,Other,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,24,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,36,Other,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,41,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,81,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Male,56,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Male,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,27,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Male,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999"
Male,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,11209,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,41,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999"
Female,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,22,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Male,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Male,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,49,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,58,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,42,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,47,Black/ African American/ Caribbean American,"Yes, Puerto Rican",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Female,31,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,33,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,21,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,51,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999"
Female,58,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Male,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above"
Female,42,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Female,29,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$15,000 - $24,999"
Female,18,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999"
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,27,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Male,30,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,21,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,35,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","Less than $14,999"
Male,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,47,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999"
Male,40,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,30,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$25,000 - $34,999"
Female,31,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,27,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Male,27,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,23,Asian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Female,52,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,27,Black/ African American/ Caribbean American,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999"
Female,30,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Male,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,30,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Male,74,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,43,Other,"Yes, Puerto Rican",Some high school,"$35,000 - $49,999"
Male,31,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,18,White/Caucasian,"Yes, Other",Some high school,"$15,000 - $24,999"
Male,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,26,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$25,000 - $34,999"
Female,26,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999"
Male,27,Asian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999"
Male,33,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Male,69,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,27,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,37,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,31,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,27,Black/ African American/ Caribbean American,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999"
Male,69,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,35,White/Caucasian,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$25,000 - $34,999"
Male,38,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Male,75,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,43,Black/ African American/ Caribbean American,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999"
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,28,White/Caucasian,"Yes, Other","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,42,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,20,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999"
Female,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999"
Male,46,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999"
Female,28,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,25,Other,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$15,000 - $24,999"
Male,33,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Male,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,51,Asian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999"
Female,50,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,35,White/Caucasian,"Yes, Mexican, Mexican American, Chicano","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,34,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Male,22,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,55,Other,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999"
Female,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,36,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,23,White/Caucasian,"Yes, Other","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Female,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,43,Other,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,41,Two or more races,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Male,28,Black/ African American/ Caribbean American,"Yes, Puerto Rican",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,18,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999"
Male,46,Other,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$35,000 - $49,999"
Male,35,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999"
Female,41,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,51,Other,"Yes, Puerto Rican",Some college but degree not received or in progress,"Less than $14,999"
Male,23,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$35,000 - $49,999"
Male,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999"
Female,71,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Male,29,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Female,47,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Male,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999"
Female,25,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Female,69,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Female,39,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,60,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999"
Male,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$50,000 - $74,999"
Female,31,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,76,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999"
Female,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some high school,"Less than $14,999"
Female,33,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,55,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$200,000 and above"
Female,27,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999"
Female,22,Other,"Yes, Puerto Rican",Some high school,"Less than $14,999"
Female,24,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999"
Female,25,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,18,Asian,"Yes, Puerto Rican",Some college but degree not received or in progress,"$25,000 - $34,999"
Female,68,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999"
Female,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,49,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999"
Female,75,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Male,69,Black/ African American/ Caribbean American,"Yes, Cuban",No high school,"$100,000 - $149,999"
Female,53,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Male,54,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999"
Female,50,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","$15,000 - $24,999"
Female,19,White/Caucasian,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above"
Male,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999"
Female,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$15,000 - $24,999"
Male,44,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,27,Black/ African American/ Caribbean American,NA,"Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,51,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999"
Female,48,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999"
Female,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999"
Male,40,White/Caucasian,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999"
Female,20,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999"
Female,32,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999"
Female,24,Two or more races,"Yes, Other",Some college but degree not received or in progress,"$75,000 - $99,999"
Female,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999"
Female,38,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999"
Female,44,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999"
