Team,Empowerment,Gender Groups,Race Groups,Gender Comp,Race Comps,Improvements,Age,Occupation/Title,Are you a current student?,Gender,Education,School
"A teams that's large enough to source different perspectives but not too large that that the discussion gets weighed down by excessive input. Team members that are diverse in background and preferably diverse in gender and race/ethnicity. All team members are competent, hard working, respectful, and clever.","1) Recognizing that the playing field is uneven for men and women, and spreading awareness about this reality, and 2) actively providing opportunities to women to achieve parity with men","Excellent - these groups create a community where women can support each other in environments that can sometimes discriminate against their gender. There's all upside to that, and very little downside.","These are important and necessary groups. Members of underrepresented populations need to feel like they have a home in their workplace/school/etc. Otherwise, the feeling of ostracization can significantly impair their ability to work or learn.",Excellent - these competitions raise awareness for the problem of gender discrimination and actively try to solve it by promoting engagement in these disciplines.,Excellent - as long as they are underrepresented populations or groups that face discrimination. Asians do not face significant discrimination in the software/coding industry so I wouldn't support an asian only hackathon.,"Have leaders recognize this is a problem and share personal stories about their relationship to the problem. Men can talk about how they might have contributed to this issue, and women can share how they've overcome discrimination. Seeing authority figures openly talk about this problem will spur the dialogue at all levels and substantively move the needle on awareness.",18 - 24,Student,"Yes, Full-Time",Male,High School Graduate,University of Texas
People who are not obnoxious who are good at the things that I am not good at so I can learn from them,"Activities that combat the previous social, economic, and political disenfranchisement of women, I guess","People feel the need to form tribes and I guess this is a version of that. In my experience, I enjoy the benefits of them through concentrated networking time. Do not enjoy all the women-can-have-it-all, lean-in rhetoric.","People feel the need to form tribes and I guess this is a version of that. Have not personally participated, but they seem helpful in so far as connecting people with others like them in certain fields when they can appear few in certain fields.",Probably would not participate in one,Probably would not participate in one,I honestly do not know.,25 - 34,Student,"Yes, Full-Time",Female,Graduate Degree,University of Texas
,"Ability to have self empowerment to make your own decisions; not feel influenced by males to decide how to live your life; to not be evaluated different in any scenario based on gender but solely on qualifications, experiences, personality, etc - traits you can control; to have all equal opportunities available as males.","While it is nice to have women specific groups in some instances because it is just a truth that we face that women tend to be minorities in many situations, so groups allow you to talk through common questions/problems and help each other through shared experices, I do sometimes find groups like that to be self-segregating. That is also very true for things like a women's only business conference or case competition, if you are always keeping the genders separate, neither will learn how to work collectively with each other, and we'll never get past the obstacles of gender inequality.","Very similar to how I feel about gender specific groups- great to lend support to each other but becomes a problem when the groups are self segregating and are o my increasing the problem of keeping races or groups separated. I feel like with gender or race or ethnic specific groups, it can sometimes vilianize the group of people not included in the group i.e. The other gender, other races etc because it is only further causing exclusivity and segregation between conflicting parties.","Athletics is the only place I find it right when it comes to skills/academics. If it's not a physical competition where genetically, skill sets will be different, then genders should all be on the same playing field.",Self segregating - it's totally fine to have them if a group so chooses but it's still an issue of exclusivity and segregating groups of people,,18 - 24,Student,"Yes, Full-Time",Female,Graduate Degree,University of Texas
"Four person team, a couple people who drive the project forward with one being the main driver, and the other two being more of the glue of the group and one person being the main integrator in making sure everyone is being heard","To me, it sounds like opportunities where there is normally not a large populations of female participants targeted towards women","I see the value, and I think it's good to have an endgame of having a diverse workplace, ideally around half and half men and women to best represent the demographics of the area, with a population of those who don't identify with a gender feeling comfortable and represented too","Again, I see the value, and please see my answer above in applying that to race","I see the value, it'd just be nice if someone not of the gender can help out in someway such as planning or promoting it",Please see above and apply it to race as well,"My workplace has an initiative specifically targeted towards getting women involved, and I think that does well. What makes it work I think is that it's one overarching group that may have sub groups that target more specific interests, but they ultimately roll back up to the parent org that has the funds to provide and the mission to unite",18 - 24,Consultant,No,Male,Bachelor's Degree,University of Texas
"My ideal team consists of a diverse group of individuals who are all enthusiastic and actively engaged in team work. Each individual would bring a unique and informed perspective to the group and would be considered an ""expert"" in one or multiple fields. Individuals would be excited to contribute, but would not dominate the group setting and would allow for others to provide ideas as well.","Female empowerment is pretty important to me. As someone who was raised by two military parents, I was always encouraged to pursue leadership positions, be active in sports, and to participate in arenas that might typically be seen as ""male-dominated."" Many times I would notice (especially as I got older) that I was the only woman in a room or on a leadership team. When I started getting involved in Student Government at UT, I noticed this as well. I think female empowerment is important to encourage women to pursue leadership positions and opportunities that they are just as qualified for.","Personally, I struggle with these organizations. I have always felt comfortable getting involved in non-gender specific groups and always hoped that other women felt the same. While this is my personal experience, I do understand the need for these kinds of groups to provide a ""gateway"" or ""foot-in-the-door"" for women in certain fields. Currently, I work at tech start-up where over 75% of employees are males. One of the non-profits we support is called Girlstart, an organization that focuses on getting elementary and middle school girls interested in STEM education and STEM careers. It is well-documented that women are underrepresented in these fields, and I think it is important that there are organizations and spaces that encourage women to break into fields where they might not currently see as many role models or representation. Representation is important. I think it is important for these organizations to focus on empowerment, networking, and skill-building while also understanding that their goal should be long-term systemic change.",I think my answer to this question would be very similar/identical to my gender specific groups answer. The focus for these organizations should be to increase representation in these fields and to look for long-term systemic change.,"I think these opportunities make sense as what I call a gateway opportunity. If women are underrepresented in computer science / hackathon competitions (which they are), providing an opportunity such as a women-specific competition makes sense to encourage them to participate in more competitions like this in the future.","Again, the focus of these race-specific / gender-specific competitions should be to increase representation in these fields / arenas. An Asian only hackathon wouldn't make sense to accomplish these goals because Asians are not underrepresented in these arenas.",,18 - 24,Student,"Yes, Full-Time",Female,Some College / Associates Degree,University of Texas
"Evenly balanced across gender, age, and tenure. Encourages open conversation of difficult topics such as earning credibility, being vulnerable, showing empathy, working poorly/too much.","Female empowerment is about acknowledging the inherent differences in gender perpetuated by societal, religious, and cultural conditioning and making a deliberate effort to counteract it by promoting gender equality.","I enjoy women-specific spaces and conversations and I think there is a benefit to fostering an environment where girls feel comfortable and free to discuss, learn and challenge themselves in a way they do not feel perhaps as safe or as comfortable doing when men are around. That, however, is a tragedy in and itself that should be openly addressed and attributed to years of social brainwashing and gender discrimination. I am not a fan, however, of women-only competitions (female case comp), as I find that it creates an unrealistic environment (one sex), does not engage the portion of the population that may also need candid discussion of gender equality (men - after all, gender inequality is the whole reason such a competition would exist), and perpetuates the flawed idea that women are always competing against other women.","Similar sentiments to the last point, but I think it can be more complicated. I read recently that men see race more than gender. I think these spaces provide a comfortable home for people to interact in an environment that makes complete sense to them, and it gives them a space to discuss how to combat discrimination or get along in a white man's corporate world (maybe they use other words for this), which I think is useful. It's often those bonds that land people their jobs or promotions or deals, however. It seems natural, but is a little troubling when you consider how the same is done between men.",Oooh said it above.,I don't see their value.,"Engage both genders in discussions of gender equality in a way that is engaging and not a sob fest. There could be content around it, such as simulations or vignettes with debriefs. Or trusted, high-up leaders discussing their challenges with gender at work/school.",18 - 24,Consultant,No,Female,Bachelor's Degree,University of Texas
"interdisciplinary, race/gender/age diverse, similar core values",feeling as though my thoughts and opinions are viewed without any bias,"they are great are having conversations, but sometimes alienate men, who are very important to the empowerment of women","great for building communities and support, but can be isolating",don't see the benefit or value,don't see the benefit or value,"educate managers on the prevalence of gender biases, open the dialogue to a broader audience, create a culture in which women can openly call out biases and inequities",25 - 34,Marketing Analyst,No,Female,Bachelor's Degree,University of Texas
,"To promote not ""more power"" but instead promote equality.","I am in a women in IT group myself. However, I feel that it sometimes furthers the disconnection between men and women in the workplace. In gender specific groups, it supports inclusion but also tends to push away other groups. To me, gender specific groups thrive if they partner with others as well.",n/a,"I see no purpose for gender specific competitions. I do support those for younger generations, like empowering young females in STEM careers because of the lack of involvement.",I find no benefit in these either.,"Again, partnering with other gender groups. For women specifically, networking events with female leaders, who can speak to the standpoint of being a women in business (rather than those at the same level who may have the same perspective).",25 - 34,IT Analyst,No,Female,Bachelor's Degree,Notre Dame
"collaborative, supportive, connect on a personal level, invest in one another, push one another, develop one another","having females feel that they can do anything their abilities allow them to do, accomplish as much as possible without any regard to gender","no strong opinion, but advancement and opportunities should be based on merit, experience and accomplishments","no strong opinion, but advancement and opportunities should be based on merit, experience and accomplishments",seems exclusive,seems exclusive,treat everyone based on a merit scale,25 - 34,Senior Financial Analyst,No,Male,Bachelor's Degree,University of Texas
A group setting where lots of dialogue happens and every member feels supported and comfortable to share.,"Freedom to ask questions, give demands, without hesitation. Seen as an equal partner across all settings.",Same opinion with the minorities groups. Necessary because of marginalization even if its not the solution to the problem.,Unfortunately necessary. They create/allow opportunities and support for minorities that wouldn't exist without these organizations.,Disagree. It should be a level-playing field since that translates to real-world competition.,Terrible and extremely limiting.,"more employee development opportunities, more women speakers",25 - 34,Student,"Yes, Full-Time",Female,Bachelor's Degree,Texas A&M University-Corpus Christi
"Co-located, slight hierarchy but equal respect and contribution among members, gender balanced",Ability to be able to influence and lead projects as an equal to men,"They're great. My firm's group is called W@B (women at Bain), and it has been a very good resource for professional development and Mentorship.","I like them, especially when they host events for the full office focusing on a topic of interest (same with women's groups - Like ""communication style differences between men and women""",Not into it,Not into it,Better open conversations about differences and embedded sterotyping,18 - 24,Associate Program Officer,No,Female,Bachelor's Degree,University of Texas
My ideal team comes with diverse experiences and perspectives. They challenge each others ideas in a respectful and constructive manner while leveraging their diverse backgrounds to come up with robust solutions to problems.,It means providing a female an environment in which she does not have to question if her gender will affect the way she is perceived or treated.,"I think they're good in concept, but the problem is that they often times ignore the opposite sex, which is a problem in the sense that in order for females to be truly empowered, we need male counterparts to be encouraged to interact with and learn from these gender specific interest groups.","Same as gender specific- they're great for providing resources for the target group, but often times ignore the education of outside groups piece.","I honestly don't think that these are necessary and only further divide the female/male bias. If we continue these gender specific competitions, then we propagate the idea that they are not on equal footing for competing.",Same as above,"Fortunately, my workplace has many female specific resource groups, but again- they often miss opportunities to help educate males in the workplace on some of the issues that females may face.",25 - 34,Global Project Manager,No,Male,Bachelor's Degree,University of Texas
50/50 men and women,That women aren't constrained by rules that men are free from,"Women in Banking, Women who Code, Women in Venture Capital, Women in Startups esp. Female Founders",Think they do great things for their constituents!,"Love them! Great opportunity for minority groups to showcase their talent! Sometimes when an especially talented or gifted person participates in events, their talent is slapped with labels like ""They only won because they are black"" or ""They only got chosen for the diversity card."" Diversity targeted events remove that label and show others the power of the group as a whole!",See above.,"Helping women through investment banking recruiting, understanding how to network effectively and get past gatekeepers who may have biases of their own",18 - 24,Student,"Yes, Full-Time",Female,Bachelor's Degree,University of Texas
Diverse group of people who each brings something unique to the table,The ability to be treated as an equal in all social and work situations,I think they are needed as networks for women to meet and talk about their experiences in male dominated fields.,Also feel they are needed to help disadvantaged groups meet and talk about the unique issues they face in society,I think they are great as a practice for the coed versions. A place for constructive criticism from female mentors in the field. Final competitons need to be coed.,"Again, I think minority group practice sessions are worthwhile, but competitons should be diverse.",We have a predominately female staff at our Montessori school. The only discouraging thing I see is gossip tearing down others instead of supporting one another in our journeys.,45 - 54,Middle school teacher,No,Female,Doctorate Degree,Caltech
"Diverse, positive, empathetic",Women should do what they want and not what they think they should do.,Love it. We need energy going against the norms to help balance and support equality.,"They're great, but should be less cultish and have events to include people of other races to join and participate.",Go for it. STEM is a place where women are minorities. Need more women in STEM education amd careers!,Seems fine to me but people would probably freak out if there was a white people only hackathon haha,"Hire more women in leadership roles that way they will motivate and mentor other women to seek out leadership roles. MBA programs could do better at accepting more women so that when they leave they get better jobs. MBA schools in 70s, 80s, even today still hire majority of men so in result men become more qualified for higher paying jobs since they're the ones getting MBAs.",18 - 24,Manager,No,Male,Bachelor's Degree,University of Texas
Coworkers who are genuinely interested in the project while dedicating time to educating their juniors and encouraging discussion,Feel confident to express and defend your opinions,"They are very helpful for networking and for building future careers (i.e., being able to visualize yourself in that role)",Helpful for the same reasons as gender-specific interest groups,I've never participated in one and would not be interested in doing so. This does not sound beneficial to myself or to the particular gender.,I've never participated in one and would not be interested in doing so. This does not sound beneficial to myself or to the particular race.,N/A,35 - 44,Student,"Yes, Full-Time",Female,Bachelor's Degree,University of Puerto Rico
Ideal time allows time for collaboration but does not get bogged down in meetings and unnecessary oversight.,"It means to me allowing avenues for women to overcome (the very documented) challenges to advancement. Sometimes I feel these are viewed as ""ways women need extra help"" versus the institutional inequality that exists.","I think these allow people to flourish in groups. Some groups feel intimidating, but if the member feels like their experience is similar to others, they may feel more comfortable joining and participating. That being said, I think crossover events are highly educational and help to break down what might be only assumed barriers.",Same as above,n/a,n/a,"I'm in a tiny company. I have to negotiate for everything- salary, maternity leave, etc. It was not an easy process, but I have learned more at my current position about standing up for myself than any other place. School of hard knocks!",25 - 34,Senior Analyst,No,Female,Graduate Degree,UNC Charlotte
Individuals with a diverse set of complementary skills that share a common goal and mission.,Women being respected and receiving equal opportunities.,Great bonding opportunity among common interests. Should be attended in conjunction with a variety of other groups to keep a broad perspective and pulse on the rest of the local scene. Should not be the sole engagement as this can cause narrow-mindedness and self-induced alienation.,Same as above.,Good opportunity to showcase the achievements of one population. Should be included in a variety of opportunities and not be the sole activity.,Same as above.,Creating mentoring opportunities between leadership and manager level staff.,25 - 34,Manager,No,Female,Bachelor's Degree,University of Texas
dedicated and passionate,providing equal opportunity,"people like being around people that get them and will support that. if this is that for you, then 100% yes. there's no good reason as to why not.","people like being around people that get them and will support that. if this is that for you, then 100% yes. there's no good reason as to why not.","again, why not? maybe we can figure out a way for projects to be judged anonymously. otherwise, unconscious (and sometimes conscious) biases will always play a part","again, why not? not all races are given and equal chance. these are good for helping others feel included and heard",positions of leadership - develop a clear focus on diversity,25 - 34,,No,Male,Bachelor's Degree,
"I like working in groups of 3-5 people, with a emphasis on collaboration and bouncing ideas of each other, but with maybe one senior person who can provide mentorship or guidance.","Making space for women to take on leadership roles and valuing women's leadership. 
(NB: I would prefer to use the term women rather than female because female is an adjective, and in this context can be read to exclude transwomen or other gender-nonconforming individuals who can and may benefit from the empowerment of women.)","They can be valuable spaces for people who share an experience to vent, get support, provide mentorship, and ally for common causes.","They can be valuable spaces for people who share an experience to vent, get support, provide mentorship, and ally for common causes.","This one I'm not as comfortable with, because it's not about the shared experience, it feels more like excluding the other half of the population from an opportunity. Now, if the Women in Tech group were to sponsor an open science fair that asked for entries that are maybe focused on something relating to women (I dunno, effective ways to handle menstruation, better breast pump, sustainable tech for women in impoverished countries....) that would be awesome, because even male participants could participate in breaking down barriers and we need allies!","This one I'm not as comfortable with, because it's not about the shared experience, it feels more like excluding the other half of the population from an opportunity. Ditto what I said above. If, Asians in Tech wanted to host a hackathon open to all with a focus on an area of the world that we as Americans don't see often, I think that promotes cross cultural communication.","More explicit training on how the leadership styles of men and women may differ, and how to override the voice in your head that has been socialized to screen out ""bitchy women"" yet listen to ""authoritative men."" It takes conscious effort and teaching those skills explicitly is valuable and important.",25 - 34,Attorney,No,Female,Juris Doctorate,NYU
"Diverse as I can get it, but still English speaking. Smart and willing to communicate and get pedantic as hell on the little things.","I guess it means getting women to a level of social and economic equality. People, even some women seem to have some pretty mysogynistic behaviors which female empowerment serves as a coping mechanism for. I guess?",Seems necessary for women to learn about going into these strange realms that have been dominated by the patriarchy and learn about their stereotypical roles and how to keep that from holding them back.,Same as above,"I mean it allows women or men to work in groups that are only their gender which might be a valuable skill. Also, women in mixed gender competitions might be at a disadvantage if judges notice and judge male characteristics more highly than female. I don't think about it much, I guess.","Again, same as above. Feels more like separating social spheres in this case though. I get it though, white people are annoying, man.","Listen to them. People, myself included, sometimes tune out of conversation a bit when females are talking and then have less than wholehearted responses as a result. It is actually tragic. I really have to make sure and focus, which again is tragic.",18 - 24,Student,"Yes, Full-Time",Male,Some College / Associates Degree,University of Texas
"A mix of backgrounds, workstyles, ages, capabilities that is reflective of my customers and the context in which the organization operates",equipping women to excel in the professional landscape,"i believe these groups are unfortunately still necessary to provide a platform and community of support. women shouldn't have to go it alone - they need support, encouragement and opportunity which should come from each other AND from men","similar to my answer above. if the group feels the need, then there is one. key is to not create siloes but to build communities",i believe we need to encourage participation of diverse groups -- at which point the competition becomes open to all. I'd want my daughter and my son to be in academic competitions that reflect the real world they're living in and will be having careers in,"same as above. communities and groups should be catalysts for making forums inclusive, not exclusive","invest in helping them be well-equipped business leaders (the what and the how) so that, if their ambition is such, they can rise to any role based on their expertise and experience",45 - 54,SVP Marketing,No,Female,Bachelor's Degree,University of Texas
