What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,Do you have a drivers license?,Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,Employment Status,What type of industry do you work in?,What is your preferred language?
Male,60,White/Caucasian,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Inner Queens,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Divorced,No,No,A building with 10 to 49 apartments,Own,Employed full time (working more than 30 hours per week),Media,NA
Male,58,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Female,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Manhattan,No,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Divorced,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Financial services,English
Female,48,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Northern Bronx,No,Staying the same,NA,Staying the same,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Unemployed,NA,English
Female,35,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Outer Brooklyn,No,Staying the same,NA,Staying the same,NA,Single,No,No,A one family house attached to one or more houses,Rent,Employed full time (working more than 30 hours per week),Other,NA
Female,40,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Education,English
Female,29,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Hospitality,English
Male,86,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Bronx,No,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",NA
Male,57,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Bronx,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Transportation and Utilities,NA
Male,27,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,English
Male,36,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Northern Manhattan,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Unemployed,NA,English
Female,53,White/Caucasian,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$75,000 - $99,999",Southern Bronx,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus less frequently,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Other,English
Female,62,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Northern Manhattan,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Retired,NA,English
Male,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Technology & Telecommunications,English
Male,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Middle Queens,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,Retired,NA,English
Female,21,Two or more races,"Yes, Other",Some college but degree not received or in progress,"$15,000 - $24,999",Staten Island,No,Staying the same,NA,Getting worse,I take the bus the same amount,Single,Yes,No,A building with 2 to 9 apartments,Rent,Full time student,NA,English
Female,36,Other,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999",Southern Bronx,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus more frequently,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Education,English
Male,36,Other,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Inner Brooklyn,No,Getting better,I use the subway the same amount,Staying the same,NA,Single,No,No,I am homeless,NA,Employed part time (working less than 30 hours per week),Technology & Telecommunications,English
Female,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Manhattan Core,Yes,NA,NA,Getting better,I take the bus more frequently,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Arts & Entertainment,NA
Male,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,NA,NA,Married,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Media,English
Female,30,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,NA,NA,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,Full time student,NA,NA
Female,25,White/Caucasian,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Bronx,Yes,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A one family house attached to one or more houses,Own,Employed part time (working less than 30 hours per week),Retail,NA
Female,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Middle Queens,Yes,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Married,No,No,A building with 50 or more apartments,Own,Retired,NA,English
Female,27,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$15,000 - $24,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,NA,NA,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Arts & Entertainment,English
Female,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Staten Island,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),Education,English
Male,63,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Staten Island,Yes,NA,NA,NA,NA,Married,No,No,A one family house detached from any other house,Own,Retired,NA,English
Female,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Inner Brooklyn,Yes,Getting worse,I use the subway less frequently,NA,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Male,53,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Real estate,English
Female,39,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Middle Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Government,English
Female,20,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Inner Queens,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Single,No,No,A one family house attached to one or more houses,Own,Full time student,NA,English
Female,22,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Full time student,NA,English
Female,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,Yes,Staying the same,NA,Getting better,I take the bus the same amount,Widowed,No,No,A building with 50 or more apartments,Rent,Retired,NA,English
Female,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Northern Manhattan,Yes,Staying the same,NA,Staying the same,NA,Single,Yes,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,English
Female,73,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999",Middle Queens,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Retired,NA,English
Female,76,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$15,000 - $24,999",Middle Queens,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A one family house detached from any other house,Rent,Retired,NA,English
Female,42,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","Less than $14,999",Manhattan Core,No,Getting worse,I use the subway less frequently,Getting worse,I take the bus more frequently,Single,Yes,No,A building with 10 to 49 apartments,Rent,Unemployed,NA,English
Female,20,Other,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Inner Queens,No,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Full time student,NA,English
Female,24,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Inner Queens,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Financial services,English
Male,36,Other,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Inner Brooklyn,No,Getting better,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed part time (working less than 30 hours per week),Technology & Telecommunications,NA
Female,41,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Other,English
Female,81,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Middle Queens,Yes,Getting worse,I use the subway less frequently,NA,NA,Widowed,No,No,A building with 50 or more apartments,Rent,Retired,NA,NA
Male,56,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$75,000 - $99,999",Manhattan Core,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Own,Employed part time (working less than 30 hours per week),Other,NA
Male,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,Retired,NA,English
Male,27,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Southern Bronx,No,Staying the same,NA,Getting better,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Other,English
Male,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","Less than $14,999",Staten Island,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,English
Male,64,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Staten Island,Yes,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Living in a committed partnership,No,No,A one family house attached to one or more houses,Own,Retired,NA,NA
Male,28,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Financial services,English
Female,11209,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Brooklyn,Yes,Getting better,I use the subway more frequently,NA,NA,Married,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,NA
Female,41,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999",Staten Island,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Married,No,No,A one family house attached to one or more houses,Own,Employed part time (working less than 30 hours per week),Construction,English
Female,68,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Outer Queens,Yes,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 10 to 49 apartments,Own,Retired,NA,English
Female,22,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Outer Queens,No,Getting worse,I use the subway more frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Own,Unemployed,NA,English
Male,50,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Northern Bronx,Yes,Staying the same,NA,Staying the same,NA,Single,Yes,No,A building with 10 to 49 apartments,Rent,Other,NA,English
Male,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$50,000 - $74,999",Staten Island,Yes,Staying the same,NA,Getting worse,I take the bus the same amount,Single,No,No,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Construction,English
Female,49,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Middle Queens,No,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Health Care/Social Assistance,English
Male,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Outer Brooklyn,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Retired,NA,NA
Male,58,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Northern Bronx,Yes,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Divorced,No,No,A one family house attached to one or more houses,Own,Unemployed,NA,NA
Male,42,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Outer Brooklyn,No,Staying the same,NA,Getting worse,I take the bus the same amount,Single,No,No,A one family house detached from any other house,Rent,Unemployed,NA,NA
Female,47,Black/ African American/ Caribbean American,"Yes, Puerto Rican",Some college but degree not received or in progress,"$25,000 - $34,999",Northern Bronx,Yes,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Transportation and Utilities,English
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,NA,NA,Married,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Media,English
Female,31,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Northern Manhattan,Yes,Staying the same,NA,Getting better,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Rent,Employed full time (working more than 30 hours per week),Non-profit,English
Female,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A building with 50 or more apartments,Rent,Employed full time (working more than 30 hours per week),Government,English
Female,33,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Inner Queens,Yes,Staying the same,NA,Getting worse,I take the bus the same amount,Living in a committed partnership,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Female,21,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$35,000 - $49,999",Northern Bronx,No,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Full time student,NA,English
Female,51,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$100,000 - $149,999",Inner Queens,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",English
Female,58,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$15,000 - $24,999",Inner Brooklyn,Yes,Staying the same,NA,Getting better,I take the bus more frequently,Single,No,No,A building with 50 or more apartments,Own,Other,NA,NA
Male,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Inner Brooklyn,Yes,Getting worse,I use the subway the same amount,NA,NA,Living in a committed partnership,Yes,No,A building with 50 or more apartments,Own,Employed full time (working more than 30 hours per week),Retail,NA
Female,42,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$35,000 - $49,999",Northern Bronx,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,Employed full time (working more than 30 hours per week),Non-profit,English
Female,29,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$15,000 - $24,999",Staten Island,Yes,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Full time student,NA,English
Female,18,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$100,000 - $149,999",Middle Queens,No,Getting better,I use the subway more frequently,Getting worse,I take the bus less frequently,Single,No,No,A one family house detached from any other house,Own,Full time student,NA,English
Female,40,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Manhattan Core,Yes,Getting better,I use the subway more frequently,Getting better,I take the bus less frequently,Married,Yes,Yes,A one family house detached from any other house,Own,Employed full time (working more than 30 hours per week),Financial services,NA
Female,27,Other,"Yes, Other","High school graduate or equivalent (i.e., GED)","$15,000 - $24,999",Southern Bronx,No,Getting worse,I use the subway less frequently,NA,NA,Single,No,No,A building with 10 to 49 apartments,Rent,Employed part time (working less than 30 hours per week),Manufacturing,English
Male,30,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Manhattan,Yes,Getting worse,I use the subway the same amount,Staying the same,NA,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Own,Employed full time (working more than 30 hours per week),Arts & Entertainment,English
Male,21,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Staten Island,Yes,Staying the same,NA,Getting worse,I take the bus the same amount,Single,No,No,A one family house attached to one or more houses,NA,Full time student,NA,English
Female,35,Black/ African American/ Caribbean American,"Yes, Puerto Rican","Associate degree (i.e., AA, AS)","Less than $14,999",Northern Bronx,Yes,Getting worse,I use the subway less frequently,Getting worse,I take the bus less frequently,Single,No,No,A one family house attached to one or more houses,Own,Employed full time (working more than 30 hours per week),NA,English
