UniqueID,What is your gender?,What is your age?,What is your race?,Are you hispanic?,What is your level of education?,What is your income?,What area of New York are you from?,What is your zip code?,What is your borough?,Do you have a drivers license?,Do you have access to a car?,Reason for car,What type of car do you have?,Where do you park your car?,Do you pay to park?,Do you have a smartphone?,Do you own a bike?,How many bikes do you own?,qBIKETYPE1,Where do your packages get delivered?,"If you get parcels at a postal store, how far away are they?",Opinion of the subway,Has this affected how often you use the subway?,Opinion on the bus service,Has this affected how often you use the bus,Relationship status,Do you get state welfare?,Are you disabled?,What type of building do you live in?,Do you rent or own your house?,How many children do you have?,Do you accompany your children to school?,Employment Status,What type of industry do you work in?,How many fulltime jobs do you have?,How many part time jobs do you have?,How many jobs do you have?,Where do you work?,Can you work from home?,Which borough do you work in?,What time do you go to work?,What time do you finish work?,What is your preferred language?
105264,Female,52,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Northern Manhattan,10033,Manhattan,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,Other,NA,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Married,No,No,A building with 10 to 49 apartments,Own,None,NA,Employed full time (working more than 30 hours per week),Arts & Entertainment,1,0,1 job,Other,"No, do not work from home",Manhattan,8am,6pm or 11pm,English
102759,Male,56,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Inner Queens,11372,Queens,No,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Own,None,NA,Employed part time (working less than 30 hours per week),Education,NA,1,1 job,At a school or day care facility,"No, do not work from home",Manhattan,745am,430pm,English
100432,Male,30,Other,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999",Northern Manhattan,10025,Manhattan,No,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorman,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Own,None,NA,Other,NA,NA,NA,NA,NA,NA,NA,,,NA
100186,Male,62,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Outer Queens,11422,Queens,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",1,Gasoline,In a single family home garage or driveway,NA,No,No,NA,NA,My doorstep,NA,NA,NA,NA,NA,Single,No,No,A one family house detached from any other house,Own,None,NA,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,NA
100273,Male,34,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Staten Island,10312,Staten Island,Yes,I personally own or lease a car,2,Hybrid,In a single family home garage or driveway,NA,Yes,Yes,1,Yes,My doorstep,NA,NA,NA,NA,NA,Married,No,No,A one family house attached to one or more houses,Own,One,NA,Employed full time (working more than 30 hours per week),Other,1,0,1 job,At an office,"No, do not work from home",Staten Island,Varies depends,Varies,NA
104609,Female,71,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Associate degree (i.e., AA, AS)","$25,000 - $34,999",Northern Bronx,10463,Manhattan,Yes,I personally own or lease a car,1,Gasoline,In a garage or lot in your apartment building,Yes,Yes,No,NA,NA,Other,NA,Staying the same,NA,Staying the same,NA,Widowed,No,No,A building with 50 or more apartments,Own,None,NA,Other,NA,NA,NA,NA,NA,NA,NA,,,English
101314,Female,56,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$200,000 and above",Inner Queens,11370,Queens,Yes,Other,NA,NA,NA,NA,Yes,No,NA,NA,Other,NA,Getting better,I use the subway the same amount,Getting better,I take the bus the same amount,Single,No,No,A one family house attached to one or more houses,Own,None,NA,Employed full time (working more than 30 hours per week),Financial services,1,0,1 job,From home,"Yes, work from home",NA,,,English
105022,Female,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$100,000 - $149,999",Northern Manhattan,10031,Manhattan,Yes,Other,NA,NA,NA,NA,Yes,No,NA,NA,Other,NA,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Single,No,No,A building with 10 to 49 apartments,Own,None,NA,Employed full time (working more than 30 hours per week),Other,1,0,1 job,From home,"Yes, work from home",NA,,,English
102767,Male,72,Two or more races,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Southern Bronx,10468,The Bronx,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,Getting worse,I use the subway the same amount,Getting worse,I take the bus the same amount,Widowed,No,No,A building with 10 to 49 apartments,Rent,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
100270,Male,60,White/Caucasian,"Yes, Puerto Rican","Graduate degree (i.e., Master's, Professional, Doctorate)","$150,000-$199,999",Inner Queens,11372,Queens,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway less frequently,Staying the same,NA,Divorced,No,No,A building with 10 to 49 apartments,Own,None,NA,Employed full time (working more than 30 hours per week),Media,1,0,1 job,From home,"Yes, work from home",NA,,,NA
101847,Male,58,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$100,000 - $149,999",Inner Queens,11372,Queens,Yes,I do not have access to a car,NA,NA,NA,NA,No,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 50 or more apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",1,0,1 job,At an office,"No, do not work from home",Queens,8am,5:30pm,English
101285,Female,40,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Manhattan,10035,Manhattan,No,I do not have access to a car,NA,NA,NA,NA,Yes,Yes,1,Yes,Other,NA,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Divorced,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Financial services,1,0,1 job,At an office,"No, do not work from home",Manhattan,7:30am,6:00pm,English
103042,Female,48,Other,"Yes, Puerto Rican","High school graduate or equivalent (i.e., GED)","$25,000 - $34,999",Northern Bronx,10473,The Bronx,No,I do not have access to a car,NA,NA,NA,NA,Yes,Yes,2,No,An alternative address (i.e. a family member or friend's),Less than 1 block,Staying the same,NA,Staying the same,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,None,NA,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,English
100129,Female,35,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Outer Brooklyn,11234,Brooklyn,No,I do not have access to a car,NA,NA,NA,NA,Yes,Yes,2,Yes,My doorstep,NA,Staying the same,NA,Staying the same,NA,Single,No,No,A one family house attached to one or more houses,Rent,None,NA,Employed full time (working more than 30 hours per week),Other,2,0,2 jobs,From home,"Yes, work from home",NA,,,NA
101781,Female,40,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$50,000 - $74,999",Inner Queens,11106,Queens,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,Other,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A building with 2 to 9 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Education,1,0,1 job,At an office,"No, do not work from home",Manhattan,8:00AM,6:15PM,English
104395,Female,29,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$25,000 - $34,999",Northern Manhattan,10027,Manhattan,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",2,Hybrid,In a single family home garage or driveway,NA,Yes,Yes,1,Yes,My lobby,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed part time (working less than 30 hours per week),Hospitality,NA,2,2 jobs,"At a store, restaurant, or hotel","No, do not work from home",Manhattan,2pm,12am,English
100324,Male,86,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Bronx,10471,The Bronx,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",1,Gasoline,In a single family home garage or driveway,NA,No,No,NA,NA,My doorstep,NA,Getting worse,I use the subway less frequently,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,None,NA,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",0,1,1 job,At an office,"No, do not work from home",The Bronx,9:00 AM,5:00 PM,NA
100470,Male,57,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Bronx,10466,The Bronx,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,Yes,No,NA,NA,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",1-2 blocks,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Single,No,No,A one family house detached from any other house,Own,None,NA,Employed full time (working more than 30 hours per week),Transportation and Utilities,1,0,1 job,At an office,"No, do not work from home",The Bronx,7:30am,5:30pm,NA
100986,Male,27,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$35,000 - $49,999",Northern Manhattan,10032,Manhattan,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Arts & Entertainment,1,0,1 job,"At a stadium, concert hall, or event space","No, do not work from home",Manhattan,10:00 AM,7:00 PM,English
105251,Male,36,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Northern Manhattan,10037,Manhattan,No,Other,NA,NA,NA,NA,Yes,Yes,1,Yes,My doorstep,NA,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 2 to 9 apartments,Rent,None,NA,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,English
105278,Female,53,White/Caucasian,"Yes, Mexican, Mexican American, Chicano",Some college but degree not received or in progress,"$75,000 - $99,999",Southern Bronx,10458,The Bronx,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",1,Gasoline,On the street,NA,Yes,No,NA,NA,Other,NA,Getting worse,I use the subway the same amount,Getting better,I take the bus less frequently,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,One,Yes,Employed full time (working more than 30 hours per week),Other,1,0,1 job,"At a store, restaurant, or hotel","No, do not work from home",Manhattan,3 PM to 11 PM,11:45 PM,English
104968,Female,62,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$15,000 - $24,999",Northern Manhattan,10039,Manhattan,No,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",More than 20 blocks,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
103454,Male,59,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Northern Manhattan,10040,Manhattan,Yes,I personally own or lease a car,1,Gasoline,In another parking garage or lot,No,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Getting better,I take the bus the same amount,Married,No,No,A building with 50 or more apartments,Rent,Two,No,Employed full time (working more than 30 hours per week),Technology & Telecommunications,1,1,2 jobs,At an office,"No, do not work from home",Manhattan,8:00 AM,6:30 PM,English
102867,Male,66,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Middle Queens,11354,Queens,Yes,I personally own or lease a car,1,Gasoline,In a garage or lot in your apartment building,Yes,Yes,No,NA,NA,Other,NA,Getting worse,I use the subway less frequently,Staying the same,NA,Living in a committed partnership,No,No,A building with 50 or more apartments,Rent,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
102930,Female,21,Two or more races,"Yes, Other",Some college but degree not received or in progress,"$15,000 - $24,999",Staten Island,10305,Staten Island,No,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorstep,NA,Staying the same,NA,Getting worse,I take the bus the same amount,Single,Yes,No,A building with 2 to 9 apartments,Rent,One,No,Full time student,NA,NA,NA,NA,NA,NA,NA,,,English
104199,Female,36,Other,"Yes, Other","Graduate degree (i.e., Master's, Professional, Doctorate)","$35,000 - $49,999",Southern Bronx,10458,The Bronx,No,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,Other,NA,Getting worse,I use the subway less frequently,Getting worse,I take the bus more frequently,Single,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Education,1,0,1 job,At a school or day care facility,"No, do not work from home",The Bronx,8:15am,4:00 PM,English
102730,Male,36,Other,"No, not of Hispanic, Latino, or Spanish origin","High school graduate or equivalent (i.e., GED)","Less than $14,999",Inner Brooklyn,11233,Brooklyn,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",NA,NA,NA,NA,Yes,No,NA,NA,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",3-5 blocks,Getting better,I use the subway the same amount,Staying the same,NA,Single,No,No,I am homeless,NA,None,NA,Employed part time (working less than 30 hours per week),Technology & Telecommunications,NA,3 or more,3 or more jobs,Varying job sites,"No, do not work from home",Brooklyn,Varioius hours,Various times,English
100019,Female,48,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Manhattan Core,10022,Manhattan,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorman,NA,NA,NA,Getting better,I take the bus more frequently,Single,No,No,A building with 50 or more apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Arts & Entertainment,1,0,1 job,At an office,"No, do not work from home",Manhattan,10AM,6PM,NA
103542,Male,35,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Inner Queens,11105,Queens,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",1,Gasoline,On the street,NA,Yes,No,NA,NA,My lobby,NA,Getting worse,I use the subway the same amount,NA,NA,Married,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Media,1,0,1 job,At an office,"No, do not work from home",Manhattan,9am,6:15pm,English
100252,Female,30,Black/ African American/ Caribbean American,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Northern Manhattan,10033,Manhattan,Yes,I personally own or lease a car,1,Gasoline,On the street,NA,Yes,No,NA,NA,My doorman,NA,Getting worse,I use the subway the same amount,NA,NA,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,None,NA,Full time student,NA,NA,NA,NA,NA,NA,NA,,,NA
100488,Female,25,White/Caucasian,"Yes, Puerto Rican","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Northern Bronx,10451,The Bronx,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",1,Gasoline,In a single family home garage or driveway,NA,Yes,No,NA,NA,A postal store,6-10 blocks,Getting worse,I use the subway the same amount,NA,NA,Single,No,No,A one family house attached to one or more houses,Own,None,NA,Employed part time (working less than 30 hours per week),Retail,NA,1,1 job,From home,"Yes, work from home",NA,,,NA
104826,Female,70,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Middle Queens,11374,Queens,Yes,I personally own or lease a car,1,Gasoline,In a garage or lot in your apartment building,Yes,No,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Getting worse,I take the bus less frequently,Married,No,No,A building with 50 or more apartments,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
104139,Female,27,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$15,000 - $24,999",Northern Manhattan,10040,Manhattan,Yes,I personally own or lease a car,1,Gasoline,In a single family home garage or driveway,NA,Yes,No,NA,NA,My lobby,NA,Getting worse,I use the subway the same amount,NA,NA,Living in a committed partnership,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed part time (working less than 30 hours per week),Arts & Entertainment,NA,3 or more,3 or more jobs,Varying job sites,"No, do not work from home",Manhattan,"Usually in the morning, but that varies from day to day.","Usually late afternoon or evening, but again it varies.",English
102255,Female,67,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$100,000 - $149,999",Staten Island,10301,Staten Island,Yes,I personally own or lease a car,2,Gasoline,Other,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Married,No,No,A one family house attached to one or more houses,Own,None,NA,Employed full time (working more than 30 hours per week),Education,1,0,1 job,At a school or day care facility,"No, do not work from home",Manhattan,I leave my house at 6:10 am.,About 6:30 pm.,English
102903,Male,63,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$50,000 - $74,999",Staten Island,10308,Staten Island,Yes,I personally own or lease a car,2,Gasoline,In a single family home garage or driveway,NA,Yes,No,NA,NA,My doorstep,NA,NA,NA,NA,NA,Married,No,No,A one family house detached from any other house,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
100835,Female,36,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$200,000 and above",Inner Brooklyn,11215,Brooklyn,Yes,I personally own or lease a car,1,Gasoline,On the street,NA,Yes,Yes,2,Yes,My doorstep,NA,Getting worse,I use the subway less frequently,NA,NA,Married,No,No,A building with 2 to 9 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),"Professional & Business Services (consulting, legal, marketing)",1,0,1 job,At an office,"No, do not work from home",Manhattan,9:30am-6:30pm,7:15pm,English
105266,Male,53,Two or more races,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,10033,Manhattan,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My doorman,NA,Getting worse,I use the subway less frequently,Staying the same,NA,Single,No,No,A building with 10 to 49 apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Real estate,1,0,1 job,From home,"Yes, work from home",NA,,,English
103367,Female,39,Asian,"No, not of Hispanic, Latino, or Spanish origin","Graduate degree (i.e., Master's, Professional, Doctorate)","$75,000 - $99,999",Middle Queens,11354,Queens,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",1,Hybrid,In a single family home garage or driveway,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway the same amount,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,None,NA,Employed full time (working more than 30 hours per week),Government,1,0,1 job,At an office,"No, do not work from home",Manhattan,10:30am,7:30PM,English
103880,Female,20,Asian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$50,000 - $74,999",Inner Queens,11103,Queens,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",1,Gasoline,On the street,NA,Yes,No,NA,NA,My doorstep,NA,Getting worse,I use the subway less frequently,Getting worse,I take the bus the same amount,Single,No,No,A one family house attached to one or more houses,Own,None,NA,Full time student,NA,NA,NA,NA,NA,NA,NA,,,English
103558,Female,22,Asian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$150,000-$199,999",Northern Manhattan,10027,Manhattan,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",4 or more,Gasoline,In a single family home garage or driveway,NA,Yes,No,NA,NA,My doorman,NA,Staying the same,NA,Staying the same,NA,Single,No,No,A building with 50 or more apartments,Rent,None,NA,Full time student,NA,NA,NA,NA,NA,NA,NA,,,English
102051,Female,65,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin","Bachelor's degree (i.e., BA, BS, AB)","$25,000 - $34,999",Northern Manhattan,10040,Manhattan,Yes,Other,NA,NA,NA,NA,Yes,No,NA,NA,My doorman,NA,Staying the same,NA,Getting better,I take the bus the same amount,Widowed,No,No,A building with 50 or more apartments,Rent,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
104103,Female,45,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"Less than $14,999",Northern Manhattan,10033,Manhattan,Yes,I do not have access to a car,NA,NA,NA,NA,Yes,No,NA,NA,My lobby,NA,Staying the same,NA,Staying the same,NA,Single,Yes,No,A building with 10 to 49 apartments,Rent,None,NA,Unemployed,NA,NA,NA,NA,NA,NA,NA,,,English
101810,Female,73,White/Caucasian,"No, not of Hispanic, Latino, or Spanish origin",Some college but degree not received or in progress,"$75,000 - $99,999",Middle Queens,11421,Queens,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",1,Gasoline,In a single family home garage or driveway,NA,No,Yes,2,Yes,My doorstep,NA,Staying the same,NA,Staying the same,NA,Married,No,No,A one family house detached from any other house,Own,None,NA,Retired,NA,NA,NA,NA,NA,NA,NA,,,English
